"","Word","Freq"
"photograph","photograph",319
"tick","tick",318
"deny","deny",317
"heroes","heroes",317
"adored","adored",317
"hangin","hangin",316
"calls","calls",316
"shape","shape",316
"yay","yay",315
"mornin","mornin",315
"shows","shows",315
"spinning","spinning",315
"razon","razon",315
"mile","mile",314
"whoaoh","whoaoh",314
"mend","mend",314
"spin","spin",314
"rhonda","rhonda",314
"won","won",312
"able","able",312
"denise","denise",312
"harder","harder",311
"often","often",311
"record","record",311
"bone","bone",311
"listening","listening",310
"brothers","brothers",309
"french","french",309
"zone","zone",308
"asleep","asleep",308
"spit","spit",306
"decide","decide",306
"staring","staring",306
"stopped","stopped",305
"none","none",305
"works","works",305
"surprise","surprise",304
"silent","silent",304
"smoke","smoke",303
"quick","quick",303
"danced","danced",303
"lately","lately",303
"brought","brought",303
"seemed","seemed",302
"billy","billy",302
"paper","paper",301
"couple","couple",301
"gods","gods",300
"america","america",300
"tied","tied",299
"deal","deal",299
"matters","matters",299
"mystery","mystery",299
"fit","fit",298
"crash","crash",298
"soldier","soldier",298
"lifetime","lifetime",298
"angry","angry",297
"precious","precious",297
"dirt","dirt",296
"although","although",295
"shelter","shelter",295
"alabama","alabama",294
"tall","tall",294
"knowing","knowing",294
"winter","winter",293
"prove","prove",293
"mistakes","mistakes",293
"laughed","laughed",293
"secrets","secrets",293
"loneliest","loneliest",293
"christmas","christmas",292
"whispers","whispers",292
"susie","susie",292
"wiggle","wiggle",291
"dollar","dollar",291
"weather","weather",291
"shade","shade",291
"garden","garden",290
"simply","simply",290
"sees","sees",290
"stuff","stuff",290
"captain","captain",289
"beverly","beverly",289
"awhile","awhile",288
"youth","youth",288
"begging","begging",288
"regret","regret",287
"wasted","wasted",287
"ampampamp","ampampamp",286
"questions","questions",286
"weight","weight",286
"oclock","oclock",285
"survive","survive",285
"snow","snow",284
"voices","voices",284
"underneath","underneath",284
"ann","ann",284
"whoo","whoo",283
"foot","foot",283
"christ","christ",283
"jungle","jungle",282
"square","square",282
"ending","ending",282
"island","island",282
"tellin","tellin",281
"shines","shines",281
"meaning","meaning",281
"weep","weep",280
"rebel","rebel",280
"innocence","innocence",280
"rings","rings",280
"lightning","lightning",279
"keeping","keeping",279
"kisses","kisses",278
"bobby","bobby",278
"situation","situation",277
"coast","coast",277
"company","company",277
"blowing","blowing",277
"fat","fat",276
"enemy","enemy",276
"retarded","retarded",276
"smiles","smiles",275
"choice","choice",275
"hits","hits",275
"standin","standin",275
"tune","tune",275
"boyfriend","boyfriend",275
"happens","happens",274
"spell","spell",274
"hoochie","hoochie",273
"squeeze","squeeze",273
"person","person",273
"message","message",273
"figure","figure",273
"cheap","cheap",273
"happened","happened",272
"bones","bones",272
"minds","minds",272
"problems","problems",272
"ron","ron",272
"ringing","ringing",272
"headed","headed",271
"bound","bound",271
"worked","worked",271
"bump","bump",271
"groovin","groovin",271
"wrote","wrote",271
"sex","sex",271
"double","double",271
"freak","freak",271
